County,State,Area name,Cty-St
071,17,Henderson County,Henderson County-IL
073,17,Henry County,Henry County-IL
075,17,Iroquois County,Iroquois County-IL
077,17,Jackson County,Jackson County-IL
079,17,Jasper County,Jasper County-IL
081,17,Jefferson County,Jefferson County-IL
083,17,Jersey County,Jersey County-IL
085,17,Jo Daviess County,Jo Daviess County-IL
087,17,Johnson County,Johnson County-IL
089,17,Kane County,Kane County-IL
091,17,Kankakee County,Kankakee County-IL
093,17,Kendall County,Kendall County-IL
095,17,Knox County,Knox County-IL
097,17,Lake County,Lake County-IL
099,17,LaSalle County,LaSalle County-IL
101,17,Lawrence County,Lawrence County-IL
103,17,Lee County,Lee County-IL
105,17,Livingston County,Livingston County-IL
107,17,Logan County,Logan County-IL
109,17,McDonough County,McDonough County-IL
111,17,McHenry County,McHenry County-IL
113,17,McLean County,McLean County-IL
115,17,Macon County,Macon County-IL
117,17,Macoupin County,Macoupin County-IL
119,17,Madison County,Madison County-IL
121,17,Marion County,Marion County-IL
123,17,Marshall County,Marshall County-IL
125,17,Mason County,Mason County-IL
127,17,Massac County,Massac County-IL
129,17,Menard County,Menard County-IL
131,17,Mercer County,Mercer County-IL
133,17,Monroe County,Monroe County-IL
135,17,Montgomery County,Montgomery County-IL
137,17,Morgan County,Morgan County-IL
139,17,Moultrie County,Moultrie County-IL
141,17,Ogle County,Ogle County-IL
143,17,Peoria County,Peoria County-IL
145,17,Perry County,Perry County-IL
147,17,Piatt County,Piatt County-IL
149,17,Pike County,Pike County-IL
151,17,Pope County,Pope County-IL
153,17,Pulaski County,Pulaski County-IL
155,17,Putnam County,Putnam County-IL
157,17,Randolph County,Randolph County-IL
159,17,Richland County,Richland County-IL
161,17,Rock Island County,Rock Island County-IL
163,17,St. Clair County,St. Clair County-IL
165,17,Saline County,Saline County-IL
167,17,Sangamon County,Sangamon County-IL
169,17,Schuyler County,Schuyler County-IL
171,17,Scott County,Scott County-IL
173,17,Shelby County,Shelby County-IL
175,17,Stark County,Stark County-IL
177,17,Stephenson County,Stephenson County-IL
